name,price,protocol,interface,color
Gigabyte GC-WB867D-I,0.0,Wi-Fi 5,PCIe x1,Unknown
Intel AX210 w/vPro,24.19,Wi-Fi 6E,M.2 PCIe,Green
TP-Link Archer T2U Nano,12.99,Wi-Fi 4,USB Type-A 2.0,Black / Gold
Intel AX210,0.0,Wi-Fi 6E,M.2 PCIe,Green
fenvi FV-T919,59.99,Wi-Fi 5,PCIe x1,Black / Gold
Hawking Technology HD65U,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
BrosTrend AC5,0.0,Wi-Fi 5,USB Type-A 2.0,Black
Intel 7260HMWDTX1,110.0,Wi-Fi 5,PCIe x1,Unknown
Ubit G10H-AX210S,0.0,Wi-Fi 6E,PCIe x1,Unknown
Asus USB-AX56,59.99,Wi-Fi 6,USB Type-A 3.2 Gen 1,Black
TP-Link TL-WN823N,14.56,Wi-Fi 4,USB Type-A 2.0,Unknown
fenvi FV-AXE210NG,0.0,Wi-Fi 6E,M.2,Unknown
fenvi FV-AX3000,0.0,Wi-Fi 6,PCIe x1,Red / Black
Asus PCE-N15,0.0,Wi-Fi 4,PCIe x1,Unknown
TP-Link TL-WN722N,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
D-Link DWA-131,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TRENDnet TEW-808UBM,14.99,Wi-Fi 5,USB Type-A 2.0,Black
MSI AX1800,52.99,Wi-Fi 6,USB Type-A 3.2 Gen 1,Black
MSI AX905C,0.0,Wi-Fi 6,PCIe x1,Black
MSI AC905C,39.99,Wi-Fi 5,PCIe x1,Black
Asus PCE-AC58BT,0.0,Wi-Fi 5,PCIe x1,Blue
TP-Link Archer T3U Nano,19.98,Wi-Fi 5,USB Type-A 2.0,Black
Rosewill RNX-AC1300PCEv2,21.99,Wi-Fi 5,PCIe x1,Black
TP-Link TL-WN821N,15.66,Wi-Fi 4,USB Type-A 2.0,Unknown
TP-Link TL-WDN3200,89.99,Wi-Fi 4,USB Type-A 2.0,Unknown
Encore ENUWI-G2,7.99,Wi-Fi 3,USB Type-A 2.0,Unknown
TP-Link Archer T9UH,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
fenvi FV-AXE3000,0.0,Wi-Fi 6,PCIe x1,Red / Black
D-Link DWA-582,0.0,Wi-Fi 5,PCIe x1,Unknown
fenvi FV-HB1200,45.99,Wi-Fi 5,PCIe x1,Black / Blue
Gigabyte GC-WB867D-I REV 4.2,0.0,Wi-Fi 5,PCIe x1,Unknown
Edimax EW-7811UAC,19.98,Wi-Fi 5,USB Type-A 2.0,Unknown
Intel 7260HMWDTX1,0.0,Wi-Fi 5,PCIe x1,Unknown
Asus PCE-N10,0.0,Wi-Fi 4,PCIe x1,Unknown
D-Link DWA-140,36.99,Wi-Fi 4,USB Type-A 2.0,Unknown
StarTech PEX867WAC22,49.99,Wi-Fi 5,PCIe x1,Unknown
NEC NP05LM1,73.81,Wi-Fi 4,USB Type-A 2.0,White
TP-Link Archer T2U,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
fenvi Wi-Fi 7 FV-BE8800Pro,0.0,Wi-Fi 7,PCIe x1,Red / Black
Gigabyte GC-WBAX1200,0.0,Wi-Fi 6E,PCIe x1,Black
TP-Link TL-WN951N,79.98,Wi-Fi 4,PCI,Unknown
Netgear A6210-100PAS,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
Linksys WUSB6100M,49.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Intel 8265.NGWMG.S,0.0,Wi-Fi 5,M.2,Green
Intel 7260,17.0,Wi-Fi 5,Mini-PCIe,Unknown
Edimax EW-7612PIN V2,20.99,Wi-Fi 4,PCIe x1,Green
TP-Link Archer TX21UH,59.99,Wi-Fi 6,USB Type-A 3.2 Gen 1,Silver / Black
BrosTrend AC3,29.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
HP FH971AA,24.99,Wi-Fi 4,PCIe x1,Unknown
TP-Link TL-WN822N,20.79,Wi-Fi 4,USB Type-A 2.0,Unknown
Rosewill RNX-AC1900PCE,63.24,Wi-Fi 5,PCIe x1,Unknown
fenvi FV-AXE3000RGB,0.0,Wi-Fi 6E,PCIe x1,Red / Silver
Edimax EW-7811UTC,14.99,Wi-Fi 5,USB Type-A 2.0,Unknown
TP-Link Archer T4U,32.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
Netgear A6100-10000S,42.08,Wi-Fi 5,USB Type-A 2.0,Black
Linksys AE3000-CA,78.0,Wi-Fi 4,USB Type-A 2.0,Unknown
D-Link DWA-X1850,59.99,Wi-Fi 6,USB Type-A 3.2 Gen 1,Unknown
Asus PCE-AC55BT,0.0,Wi-Fi 5,PCIe x1,Unknown
Feb Smart FS-N600 Basic Edition,0.0,Wi-Fi 5,PCIe x1,Unknown
Ziyituod ZYT-7265,0.0,Wi-Fi 5,PCIe x1,Green
Asus USB-AC68,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
Asus PCE-AC51,55.0,Wi-Fi 5,PCIe x1,Unknown
Asus PCE-AC66,0.0,Wi-Fi 5,PCIe x1,Unknown
Netgear A6100-100PAS,44.96,Wi-Fi 5,USB Type-A 2.0,Unknown
Rosewill RNX-AC600NUBv2,0.0,Wi-Fi 5,USB Type-A 2.0,Black
Intel 9560.NGWG.NVR,0.0,Wi-Fi 5,M.2,Silver
D-Link DWA-X3000,44.99,Wi-Fi 6,PCIe x1,Black
Netgear WNDA4100-100NAS,43.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TP-Link Archer T4UH,69.11,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
BrosTrend AC3L Linux Wi-Fi Adapter,37.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Netgear A6150-100PAS,37.56,Wi-Fi 5,USB Type-A 2.0,Black
StarTech PEX300WN2X2,24.99,Wi-Fi 4,PCIe x1,Unknown
Rosewill RNX-AC1200PCEv2,0.0,Wi-Fi 5,PCIe x1,Green
Rosewill RNX-N300UB,9.58,Wi-Fi 4,USB Type-A 2.0,Unknown
Linksys WUSB6300,38.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
TP-Link Archer T8E,0.0,Wi-Fi 5,PCIe x1,Unknown
fenvi Wi-Fi 7 FV-BE8800,0.0,Wi-Fi 7,PCIe x1,Red / Black
MSI AC905C-V2,0.0,Wi-Fi 5,PCIe x1,Black
StarTech USB150WN1X1W,20.18,Wi-Fi 4,USB Type-A 2.0,Unknown
BrosTrend AC1,23.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
TRENDnet TBW-108UB,10.99,Wi-Fi 4,USB Type-A 2.0,Black
Asus USB-AC56,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
Edimax EW-7822UTC,19.98,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Encore ENEWI-1XN42,23.95,Wi-Fi 4,PCIe x1,Unknown
Intel 633AN.HMWWB,14.99,Wi-Fi 4,Half Mini-PCIe,Unknown
Rosewill N900PCE,0.0,Wi-Fi 4,PCIe x1,Unknown
Netgear WNDA3100-100NAS,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TP-Link TL-WN851ND,0.0,Wi-Fi 4,PCI,Unknown
Asus USB-AC53,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
Intel 7260HMW,0.0,Wi-Fi 5 (5 GHz only),Mini-PCIe,Unknown
StarTech USB433WACDB,31.68,Wi-Fi 5,USB Type-A 2.0,Unknown
Intel 8265.NGWMG.DTX1,0.0,Wi-Fi 5,M.2,Unknown
SIIG LB-WR0111-S1,46.51,Wi-Fi 6,PCIe x1,Black
Rosewill RNX-N300X,29.98,Wi-Fi 4,PCI,Unknown
Syba SY-ADA23026,11.78,Wi-Fi 4,USB Type-A 2.0,Unknown
D-Link DWA-552,50.0,Wi-Fi 4,PCI,Unknown
D-Link DWA-171,21.99,Wi-Fi 5,USB Type-A 2.0,Unknown
Rosewill RNX-G300LX,0.0,Wi-Fi 3,PCI,Unknown
Rosewill RNWD-N1502UBE,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Rosewill RNX-N600UBE,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
D-Link DWA-121,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
D-Link DWA-566,49.99,Wi-Fi 4,PCIe x1,Unknown
Netgear A6200-100NAS,79.09,Wi-Fi 5,USB Type-A 2.0,Unknown
TP-Link TL-WDN3800,0.0,Wi-Fi 4,PCIe x1,Unknown
Intel 6235ANHMW,0.0,Wi-Fi 4,Half Mini-PCIe,Unknown
3M 78-6972-0104-0,0.0,Wi-Fi 3,USB Type-A 2.0,Unknown
TP-Link TL-WN7200ND,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Edimax EW-7811Un,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Asus USB-AC51,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
Cisco AE2500,68.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Syba SY-PEX23063,0.0,Wi-Fi 4,PCIe x1,Unknown
TRENDnet TEW-807ECH,0.0,Wi-Fi 5,PCIe x1,Unknown
TP-Link Archer T1U,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
AVM FRITZ! WLAN Stick AC 430 MU-MIMO,0.0,Wi-Fi 5,USB Type-A 2.0,White / Red
Rosewill RNX-AC1200UBv2,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Rosewill RNX-AC1900PCEv2,0.0,Wi-Fi 5,PCIe x1,Red / Black
HP 8265,49.99,Wi-Fi 5,PCIe x1,Green / Black
fenvi FV8303,0.0,Wi-Fi 4,PCIe x1,Unknown
Hommie N900,0.0,Wi-Fi 4,PCIe x1,Unknown
fenvi FV-AX3000R,0.0,Wi-Fi 6,PCIe x1,Red / Black
fenvi FV-2030T,0.0,Wi-Fi 5,PCIe x1,Red
Asus USB-N13 C1,0.0,Wi-Fi 4,USB Type-A,Unknown
D-Link DWA-162,19.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TP-Link Archer T4U V2,39.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Intel 62205AN.HMWWB,0.0,Wi-Fi 4,Half Mini-PCIe,Unknown
D-Link DWA-182,39.99,Wi-Fi 5,USB Type-A 2.0,Unknown
Edimax EW-7612PIn,0.0,Wi-Fi 4,PCIe x1,Unknown
Asus USB-AC55,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
Rosewill RNX-AC600HGUBEv2,19.26,Wi-Fi 5,USB Type-A 2.0,Black
Intel 2200BNHMWDTX1G,0.0,Wi-Fi 4,PCIe x1,Unknown
Linksys WMP600N,34.99,Wi-Fi 4,PCI,Unknown
Rosewill RNX-N150PCe,0.0,Wi-Fi 4,PCIe x1,Unknown
Intel 6235AN.HMWWB,17.98,Wi-Fi 4,Half Mini-PCIe,Unknown
Asus PCE-N53,0.0,Wi-Fi 4,PCIe x1,Unknown
Rosewill RNX-N150HG,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TRENDnet TEW-424UB,0.0,Wi-Fi 3,USB Type-A 2.0,Unknown
Netgear WNA3100-100ENS,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Netgear WNA3100M-100ENS,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TP-Link TL-WN350GD,0.0,Wi-Fi 3,PCI,Unknown
TP-Link TL-WN751ND,57.99,Wi-Fi 4,PCI,Unknown
Intel 7260HMW,0.0,Wi-Fi 5,Half Mini-PCIe,Unknown
Linksys AE6000,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
TP-Link TL-WN8200ND,25.58,Wi-Fi 4,USB Type-A 2.0,Unknown
TRENDnet TEW-726EC,58.49,Wi-Fi 4,PCIe x1,Unknown
Belkin F9L1001,46.82,Wi-Fi 4,USB Type-A 2.0,Unknown
Encore ENLWI-N3,0.0,Wi-Fi 4,PCI,Unknown
Rosewill AC1200UBE,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
Belkin F9L1101,64.98,Wi-Fi 4,USB Type-A 2.0,Unknown
Cisco AE1200,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Rosewill RNX-AC1200PCE,0.0,Wi-Fi 5,PCIe x1,Unknown
Intel 3160.NGWG,0.0,Wi-Fi 5,Mini-PCIe,Unknown
Belkin AE6000,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
Edimax EW-7822PIC,49.95,Wi-Fi 5,PCIe x1,Unknown
TP-Link Archer T2UH,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
Inamax 4332804407,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
BrosTrend AC6,0.0,Wi-Fi 5,PCIe x1,Red / Black
Rosewill RNX-AC1900UB,49.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
fenvi FV-8802,0.0,Wi-Fi 5,PCIe x1,Black / Orange
InFocus INA-WIFIUSB-4,0.0,Wi-Fi 5,USB Type-A 2.0,Black
HP 9260,0.0,Wi-Fi 5,PCIe x1,Green / Black
Intel AX210 w/vPro,0.0,Wi-Fi 6E,M.2 PCIe,Green
Intel AX210,0.0,Wi-Fi 6E,M.2 PCIe,Green
Rosewill RNX-AC3000,0.0,Wi-Fi 6,PCIe x1,Black
StarTech USB433ACD1X1,31.99,Wi-Fi 5,USB Type-A 2.0,Black
SIIG LB-WR0011-S1,37.99,Wi-Fi 5,PCIe x1,Black
Cisco AIR-PI21AG-A-K9,0.0,Wi-Fi 3,PCI,Unknown
Rosewill N600PCE,45.0,Wi-Fi 4,PCIe x1,Unknown
TRENDnet TEW-643PI,27.49,Wi-Fi 4,PCI,Unknown
BrosTrend AC1L,27.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Asus USB-N10,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Belkin F7D2102,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Belkin B2N002,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Asus USB-N13,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
IOGEAR GWU625,59.95,Wi-Fi 4,USB Type-A 2.0,Unknown
Rosewill RNX-MiniN2(RWLD-11002),0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Rosewill RNX-N150PCx,0.0,Wi-Fi 4,PCI,Unknown
Rosewill RNX-N150UBE,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Rosewill RNX-N180UB,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Rosewill RNX-N180UBE,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Rosewill RNX-N250UBE,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
StarTech USB300WN2X2D,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Syba CL-ADA23032,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Syba CL-ADA24004,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TRENDnet TEW-648UB,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TRENDnet TEW-646UBH,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TRENDnet TEW-703PIL,0.0,Wi-Fi 4,PCI,Unknown
TRENDnet TEW-703PI,0.0,Wi-Fi 4,PCI,Unknown
Rosewill N900UBE,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Asus USB-N53,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Asus USB-N66,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Linksys AE2500,33.59,Wi-Fi 4,USB Type-A 2.0,Unknown
Linksys AE1200-NP,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Linksys AE1200,36.97,Wi-Fi 4,USB Type-A 2.0,Unknown
Rosewill RNWD-N1501UB,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Linksys AE3000-NP,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Linksys AE3000,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Rosewill RNX-N250PC2,0.0,Wi-Fi 4,PCI,Unknown
Linksys AE2500-NP,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Belkin E9L1500,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Belkin E9L3000,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Belkin E9L6000,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Belkin E9L7500,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Diamond WL700NXS,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Encore ENUWI-1XN42,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Encore ENUWI-1XN45,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Encore ENUWI-1XN4M,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Encore ENUWI-2XN42,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Encore ENUWI-2XN45,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
IOGEAR GWU627W6,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Intel 2200BNHMWDTX1,0.0,Wi-Fi 4,PCIe x1,Unknown
Patriot PCUSBW1150,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
StarTech USB150WN1X1,14.99,Wi-Fi 4,USB Type-A 2.0,Unknown
TRENDnet TEW-649UB,45.41,Wi-Fi 4,USB Type-A 2.0,Unknown
Encore ENEWI-1XN45,0.0,Wi-Fi 4,PCIe x1,Unknown
Encore ENEWI-2XN42,0.0,Wi-Fi 4,PCIe x1,Unknown
Encore ENEWI-2XN45,0.0,Wi-Fi 4,PCIe x1,Unknown
TRENDnet TEW-623PI,0.0,Wi-Fi 4,PCI,Unknown
D-Link DWA-125,44.99,Wi-Fi 4,USB Type-A 2.0,Unknown
D-Link DWA-130,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
D-Link DWA-160,51.99,Wi-Fi 4,USB Type-A 2.0,Unknown
D-Link DWA-548,0.0,Wi-Fi 4,PCIe x1,Unknown
Netgear WN311B-100NAS,42.0,Wi-Fi 4,PCI,Unknown
Netgear WNA1000M-100ENS,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Netgear WNA1100-100ENS,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TP-Link TL-WN723N,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TP-Link TL-WN727N,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Intel 105,0.0,Wi-Fi 4,Mini-PCIe,Unknown
Intel 135,0.0,Wi-Fi 4,Mini-PCIe,Unknown
Intel 2200BNHMW,0.0,Wi-Fi 4,Mini-PCIe,Unknown
Intel 7260HMW,0.0,Wi-Fi 4,Mini-PCIe,Unknown
Intel 7260HMW BN,0.0,Wi-Fi 4,Mini-PCIe,Unknown
Orico ORICO WRA150,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Orico ORICO WRB150,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Orico ORICO WRB150,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Orico ORICO WRD150,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Orico WRD150BLK,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Samsung WIS12ABGNX/XAA,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
StarTech PCI300WN2X2,0.0,Wi-Fi 4,PCI,Unknown
TRENDnet TEW-624UB,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TRENDnet TEW-664UB,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TRENDnet TEW-805UB,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
D-Link DWA-180,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
D-Link DWA-525,0.0,Wi-Fi 4,PCI,Unknown
Edimax EW-7128Gn,0.0,Wi-Fi 4,PCI,Unknown
Edimax EW-7711USN,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Edimax EW-7722In,0.0,Wi-Fi 4,PCI,Unknown
Edimax EW-7722UTn,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Edimax EW-7722PnD,0.0,Wi-Fi 4,PCIe x1,Unknown
Edimax EW-7722UnD,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Edimax EW-7822UAC,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
Hawking Technology HAWNU1,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Hawking Technology HAWNU2,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Hawking Technology HD45U,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Hawking Technology HWDN3,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Hawking Technology HWUG1,0.0,Wi-Fi 3,USB Type-A 2.0,Unknown
Hawking Technology HWUN4,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
IOGEAR GWU523,0.0,Wi-Fi 3,USB Type-A 2.0,Unknown
Patriot PCBOWAU2-N,45.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Rosewill RNX-G300EX,0.0,Wi-Fi 3,PCI,Unknown
SIIG CN-WR0811-S1,0.0,Wi-Fi 4,PCIe x1,Unknown
TP-Link TL-WN721N,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Belkin F9L1002,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Belkin F9L1103,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Belkin F9L1109-OM,0.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,Unknown
Buffalo Technology WI-U2-300D,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Belkin F7D1102,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Buffalo Technology WI-U2-433DM,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
Cisco AM10,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
D-Link N69506,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
D-Link DWA-548,0.0,Wi-Fi 4,PCIe x1,Unknown
Linksys WUSB600N,49.89,Wi-Fi 4,USB Type-A 2.0,Unknown
SIIG JU-WR0012-S1,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
SIIG JU-WR0212-S1,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TRENDnet TEW-804UB,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
SIIG JU-WR0112-S1,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
TP-Link TL-WDN4200,64.98,Wi-Fi 4,USB Type-A 2.0,Unknown
Cisco AE3000,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Intel 6205,0.0,Wi-Fi 4,Mini-PCIe,Unknown
Intel 6235ANHMW,0.0,Wi-Fi 4,Mini-PCIe,Unknown
Asus USB-N13,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Belkin AE3000,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Belkin F7D2102TT,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
BenQ WDRT8192,0.0,Wi-Fi 4,USB Type-A 2.0,Unknown
Hawking Technology HW7ACU,0.0,Wi-Fi 5,USB Type-A 2.0,Unknown
